Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:cleft,acl:crel,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:emph,amod,amod:att,appos,appos:trans,case:loc,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pmod,ccomp:rel,ccomp:relcl,ccomp:reported,clf,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cleft,csubj:cop,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,discourse:filler,dislocated,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:frac,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:agent,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:attlvc,nmod:bahuv,nmod:cau,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:poss,nmod:subj,nmod:tmod,nsubj,nsubj:caus,nsubj:cop,nsubj:lvc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:agent,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:goal,obl:grad,obl:lmod,obl:manner,obl:mcl,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rep,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred,xcomp:result
qtd_sagt-ud-test,805,0,912,,,,,,,,7.0,,,,,,,,,,,,,,,,,9.0,5.0,,,7.0,,,,,,,,,8.0,,6.0,,,,1.0,,,,,,,,,7.0,,15.0,,,,2.0,5.0,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,319.0,,,,,,,,,126.0,,169.0,,,,,,,,,,,,,,,,,,,26.0,9.0,,,,,,1.0,26.0,52.0,6.0,15.0,,,
qtd_sagt-ud-dev,801,0,819,,,,,,,,6.0,,,,,,,,,,,,,,,,,4.0,3.0,,,14.0,,,,,,,,,19.0,,9.0,,,,1.0,,1.0,,,,,,,17.0,,12.0,,,,,,,,,,,,,,,,,95.0,,,,,,,,,,,,,,,250.0,,,,,2.0,,,,135.0,,148.0,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,,,,28.0,42.0,4.0,18.0,,,
qtd_sagt-ud-train,578,0,606,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,8.0,,,7.0,,,,,,,,,7.0,,2.0,,,,4.0,,1.0,,,,,,,7.0,,15.0,,,,,1.0,,,,,,,,,,,,55.0,,,,,,,,,,,,,,,208.0,,,,,2.0,,,,93.0,,112.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,9.0,40.0,2.0,12.0,,,
ga_cadhan-ud-test,193,0,679,,2.0,,,,,6.0,6.0,,,,,,,,,,,,,,,,,24.0,,,,6.0,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,3.0,,,,29.0,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,127.0,,,,,,,,,123.0,,150.0,,,,,,,,,,,,,,,,,35.0,,20.0,,,,,,,,,36.0,2.0,7.0,,33.0,
krl_kkpp-ud-test,228,0,195,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,,,,,,4.0,,,,,,,,,,,,1.0,,,83.0,,16.0,,,,,,,47.0,,3.0,,,,,,,,,,,,,,,,,,2.0,7.0,,,,,,,,,12.0,,,,,
pl_pud-ud-test,1000,0,821,,,,,,,1.0,,,,,,,,,,,,,,,,,,21.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,,,,,,,2.0,,,27.0,,2.0,,,,,18.0,,,,,,,,585.0,,,,,77.0,,,,1.0,,26.0,,,,,22.0,,,,,,,,,,,,,1.0,,,,,4.0,,,,,23.0,,,,1.0,
orv_torot-ud-test,2955,0,1227,,10.0,,,,,,5.0,,,26.0,,,,,,,,,,,,,,93.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,888.0,,,,,21.0,,,,12.0,,1.0,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,109.0,19.0,24.0,,,
orv_torot-ud-dev,3061,0,979,,1.0,,,,,,6.0,,,16.0,,,,,,,,,,,,,,56.0,,,,6.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,714.0,,,,,31.0,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,22.0,7.0,,,
orv_torot-ud-train,20480,0,7736,,61.0,,,,,,49.0,,,126.0,,,,,,,,,,,,,,658.0,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,,,,3.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,5407.0,,,,4.0,244.0,,,,84.0,,7.0,,2.0,,,,,,,,,,,,,,,,14.0,10.0,,,,,,,,,777.0,137.0,68.0,,,
cs_cac-ud-dev,603,0,520,,,,,,,,5.0,,,,,,,,,,,,,,,,,15.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,1.0,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,310.0,,,,,87.0,,,,4.0,,2.0,,1.0,,,,,,,,,,,,,,,,4.0,,,,,,,,,,59.0,,3.0,,,
cs_cac-ud-train,23478,0,23270,3.0,18.0,,,,,23.0,268.0,,,,,,,,,,,,,,,,,722.0,,,,34.0,,,,,,,,,,,,,,,,,7.0,,,6.0,,,414.0,,,,,,,,22.0,4.0,,,,,,,,17.0,,,649.0,,,,,,,,,,,,,,,16311.0,,,,,2695.0,,,,194.0,,35.0,,1.0,,,,,,,,,,,,,,,,164.0,12.0,,,,,,,,,1293.0,,378.0,,,
cs_cac-ud-test,628,0,455,,,,,,,,9.0,,,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,326.0,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,5.0,,,
fi_ftb-ud-dev,1875,0,1078,,1.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,28.0,3.0,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,506.0,,141.0,,4.0,,,,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,12.0,13.0,,,
fi_ftb-ud-train,14981,0,8858,,41.0,,,,,,114.0,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,276.0,13.0,,,3.0,,6.0,,,,2.0,12.0,,,,,,13.0,12.0,,,,,,,,,,,,491.0,,,,,,,,,,,,,,,4104.0,,1121.0,,30.0,,,,,1137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289.0,47.0,92.0,,,
fi_ftb-ud-test,1867,0,1102,,2.0,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,34.0,1.0,,,,,1.0,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,533.0,,165.0,,2.0,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.0,8.0,5.0,,,
pl_lfg-ud-test,1727,0,631,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,580.0,,,,,20.0,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
pl_lfg-ud-train,13774,0,5257,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,4798.0,,,,,165.0,,,,,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,8.0,,,
pl_lfg-ud-dev,1745,0,673,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,613.0,,,,,21.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,3.0,,,
tr_tourism-ud-train,15473,0,14282,,34.0,,,,,,193.0,,,,,,,,,,,,,,,172.0,,20.0,,,,54.0,,,,,,,,,1759.0,,,,,,,,46.0,,,,,,24.0,10.0,,2.0,,,,7.0,15.0,,,,,,,,,,,16.0,2380.0,,,,,,,,,,,,,,,6754.0,,,,,,,,,805.0,,253.0,,,,,,,,,,,,,,,,,,1.0,82.0,,,,,,,,,1341.0,4.0,310.0,,,
tr_tourism-ud-dev,2166,0,2052,,1.0,,,,,,114.0,,,,,,,,,,,,,,,19.0,,9.0,,,,3.0,,,,,,,,,257.0,,,,,,,,4.0,,,,,,,,,,,,,8.0,4.0,,,,,,,,,,,,255.0,,,,,,,,,,,,,,,1056.0,,,,,,,,,79.0,,20.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,177.0,,37.0,,,
tr_tourism-ud-test,2191,0,1683,,,,,,,,30.0,,,,,,,,,,,,,,,15.0,,,,,,3.0,,,,,,,,1.0,266.0,,,,,,,,12.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,276.0,,,,,,,,,,,,,,,731.0,,,,,,2.0,,,77.0,,31.0,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,207.0,,13.0,,,
cs_poetry-ud-test,297,0,355,,,,,,,,17.0,,,,,,,,,,,,,,,,,23.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,258.0,,,,,11.0,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,9.0,6.0,,,,,,,,,15.0,,1.0,,,
ru_gsd-ud-test,601,0,595,,,,,,,,,,,,,,,,,,,,,,,,,71.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,1.0,,,,,,,3.0,6.0,,,,,,,,,,,,,,,331.0,,,,,71.0,,,1.0,2.0,,11.0,,,,,,,,,,,,,,,,,,9.0,14.0,,,,,,,,,67.0,,2.0,,,
ru_gsd-ud-dev,579,0,610,,,,,,,2.0,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,,,,,,,,,,,,,,,356.0,,,,,65.0,,,1.0,6.0,,11.0,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,66.0,,2.0,,,
ru_gsd-ud-train,3850,0,3951,,2.0,,,,,3.0,3.0,,,,,,,,,,,,,,,1.0,,476.0,,,,14.0,,,,,,,,,9.0,,,,,,,,,,,,,,1.0,,,,,,,3.0,,12.0,,,,,,,,1.0,,34.0,72.0,,,,,,,,,,,,,,,2300.0,,,,,393.0,,,,22.0,,62.0,,,,,,,,,,,,,,,,,,6.0,71.0,,,,,,,,,461.0,2.0,3.0,,,
tr_imst-ud-train,3435,0,4802,,47.0,,,,,,38.0,,,,,,,,,,,,,,,40.0,,22.0,,,,55.0,,,,,,,,3.0,246.0,,,,,,46.0,,13.0,,,,,,,21.0,,7.0,,,,,146.0,,,,,,,,,7.0,,,334.0,,,,,,,,,,,,945.0,,,1380.0,,,,3.0,,,,,654.0,,394.0,,,,,,,,,,,,,,,,,,2.0,8.0,,,,,,,,,380.0,9.0,2.0,,,
tr_imst-ud-dev,1100,0,1309,,23.0,,,,,,12.0,,,,,,,,,,,,,,,11.0,,7.0,,,,13.0,,,,,,,,4.0,95.0,,,,,,12.0,,3.0,,,,,,,15.0,,1.0,,,,,33.0,,,,,,,,,1.0,,,93.0,,,,,,,,,,,,283.0,,,321.0,,,,1.0,,,,,138.0,,114.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,120.0,2.0,,,,
tr_imst-ud-test,1100,0,1127,,12.0,,,,,,3.0,,,,,,,,,,,,,,,13.0,,1.0,,,,16.0,,,,,,,,1.0,78.0,,,,,,6.0,,2.0,,,,,,,13.0,,,,,,,24.0,,,,,,,,,1.0,,,69.0,,,,,,,,,,,,210.0,,,295.0,,,,,,,,,154.0,,115.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,111.0,,,,,
lv_cairo-ud-test,20,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
bxr_bdt-ud-train,19,0,27,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,10.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,,,,
bxr_bdt-ud-test,908,0,1611,,4.0,,,,,,5.0,,,,,,,,,,,,,,,50.0,,16.0,,,,,,,,,,,,,138.0,,,,,,,,2.0,,,,,,,,,,,,,3.0,17.0,1.0,,,,,,,,2.0,,1.0,471.0,,,,,,,,,,,,,,,458.0,,,,,15.0,1.0,,,235.0,,32.0,,,,,,,,,,,,,,,,,,1.0,20.0,,,,,,,,,139.0,,,,,
tr_boun-ud-dev,979,0,1794,,22.0,,,,,,33.0,,,,,,,,,,,,,,,64.0,,5.0,,,,17.0,,,,,,,,13.0,33.0,,1.0,,,,3.0,,8.0,,,,,,,1.0,,,,,,,10.0,,,,,,,,,2.0,,2.0,28.0,,,,,,,,,,,,463.0,,,458.0,,,,1.0,,,,,254.0,,185.0,,,,,,,,,,,,,,,,,5.0,,6.0,,,,,,,,,174.0,5.0,1.0,,,
tr_boun-ud-test,979,0,1892,,19.0,,,,,,35.0,,,,,,,,,,,,,,,83.0,,10.0,,,,21.0,,,,,,,,16.0,34.0,,2.0,,,,14.0,,11.0,,,,,,,4.0,,1.0,,,,,8.0,,,,,,,,,1.0,,,36.0,,,,,,,,,,,,461.0,,,465.0,,,,,,2.0,,,291.0,,193.0,,,,,,,,,,,,,,,,,5.0,1.0,8.0,,,,,,,,,163.0,7.0,1.0,,,
tr_boun-ud-train,7803,0,12781,,216.0,,,,,,248.0,,,,,,,,,,,,,,,577.0,,37.0,,,,125.0,,,,,,,,,229.0,,3.0,,,,68.0,,50.0,,,,,,3.0,34.0,,7.0,,,,1.0,160.0,,,,,,,,,4.0,,12.0,620.0,,,,,,,,,,,,3619.0,,,3437.0,,,,18.0,,3.0,,,167.0,,1382.0,,,,,,,,,,,,,,,,,190.0,10.0,50.0,,,,,,,,,1419.0,56.0,36.0,,,
tr_penn-ud-dev,622,0,1519,,4.0,,,,,,26.0,,,,,,,,,,,,,,,51.0,,10.0,,,,6.0,,,,,,,,,158.0,,,,,,,,7.0,,,,,,,1.0,,,,,,,8.0,,,,,,,,,,,3.0,604.0,,,,,,,,,,,,,,,369.0,,,,,,4.0,,,135.0,,71.0,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,51.0,,8.0,,,
tr_penn-ud-test,924,0,2066,,5.0,,,,,,25.0,,,,,,,,,,,,,,,71.0,,,,,,8.0,,,,,,,,1.0,211.0,,,,,,,,14.0,,,,,,,5.0,,,,,,,31.0,,,,,,,,,,,1.0,848.0,,,,,,,,,,,,,,,441.0,,,,,,3.0,,,205.0,,76.0,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,101.0,,7.0,,,
tr_penn-ud-train,14850,0,36626,,145.0,,,,,,296.0,,,,,,,,,,,,,,,1552.0,,164.0,,,,203.0,,,,,,,,11.0,4387.0,,,,,,,,316.0,,,,,,3.0,37.0,,3.0,,,,26.0,316.0,,,,,,,,,1.0,,90.0,13719.0,,,,,,,,,,,,,,,8820.0,,,,2.0,,110.0,,,3137.0,,1813.0,,,,,,,,,,,,,,,,,,,73.0,,,,,,,,,1100.0,3.0,299.0,,,
